Ticket,Open Time,Type,Volume,Item,Inicio,SL,TP,Close Time,Fin,Commission,Taxes,Swap,Profit
23240104,2019.04.15 20:18:54,sell,0.3,gbpusd,1.30996,1.31402,0,2019.04.15 20:31:43,1.31005,0,0,0,-2.7
23240321,2019.04.15 20:36:02,sell,0.05,gbpusd,1.30971,1.31417,0,2019.04.15 23:46:12,1.30986,0,0,0,-0.75
23248115,2019.04.16 04:38:23,sell,0.01,gbpjpy,146.555,0,146.136,2019.04.16 10:53:19,146.383,0,0,0,1.54
23246731,2019.04.16 03:39:18,sell,0.01,gbpjpy,146.681,0,146.145,2019.04.16 10:53:32,146.386,0,0,0,2.64
23248400,2019.04.16 04:42:12,sell,0.01,eurjpy,126.445,0,126.1,2019.04.16 12:16:30,126.295,0,0,0,1.34
23238042,2019.04.15 18:25:18,sell,0.02,gbpjpy,146.749,147.106,145.606,2019.04.16 13:09:58,146.411,0,0,-0.09,6.04
23250688,2019.04.16 05:30:14,buy,0.05,audusd,0.71477,0.71293,0,2019.04.16 15:08:39,0.71668,0,0,0,9.55
23256043,2019.04.16 10:54:22,sell,0.01,gbpaud,1.82961,0,1.82034,2019.04.16 15:16:02,1.82551,0,0,0,2.94
23260592,2019.04.16 14:05:37,buy,0.01,audusd,0.71479,0,0.71814,2019.04.16 15:16:39,0.71681,0,0,0,2.02
23240428,2019.04.15 20:44:00,sell,0.02,gbpnzd,1.93723,1.94351,1.93301,2019.04.16 15:52:09,1.93297,0,0,0.01,5.76
23239338,2019.04.15 19:18:49,sell,0.02,gbpusd,1.30998,1.31466,1.30496,2019.04.16 16:03:42,1.30663,0,0,0.02,6.7
23264055,2019.04.16 15:50:21,buy,0.02,xauusd,1280.9,0,0,2019.04.16 16:31:11,1273.94,0,0,0,-13.92
23259910,2019.04.16 13:11:40,buy,0.02,xauusd,1284.19,0,0,2019.04.16 16:31:21,1274.16,0,0,0,-20.06
23260017,2019.04.16 13:17:36,sell,0.02,eurnzd,1.673,0,0,2019.04.17 01:39:18,1.66637,0,0,0.07,8.99
23259988,2019.04.16 13:16:35,sell,0.02,nzdjpy,75.532,0,0,2019.04.17 01:46:42,74.904,0,0,-0.15,11.21
23237371,2019.04.15 18:00:21,sell,0.1,usdjpy,111.989,112.16,0,2019.04.17 03:10:05,112.157,0,0,-0.55,-14.98
23281414,2019.04.17 03:46:17,buy,0.01,nzdusd,0.6711,0,0.67372,2019.04.17 06:02:07,0.67383,0,0,0,2.73
23281041,2019.04.17 03:28:59,buy,0.01,nzdusd,0.6707,0,0.67508,2019.04.17 08:17:58,0.67319,0,0,0,2.49
23281130,2019.04.17 03:29:35,sell,0.01,eurnzd,1.68221,0,1.6758,2019.04.17 09:08:24,1.67715,0,0,0,3.42
23281109,2019.04.17 03:29:18,sell,0.01,gbpnzd,1.94388,0,1.93454,2019.04.17 09:09:18,1.9365,0,0,0,4.99
